
##### Averaged #####
# Domain = 40.9452736318
# Free = 1.83084577114
# Bridge Ratio = 0.74061774461
#####

# Time	Domain	Free	Bridge Ratio

0.0	39	2	0.733333333333
30.0	39	3	0.731666666667
60.0	39	3	0.7325
90.0	42	2	0.7425
120.0	43	1	0.740833333333
150.0	40	3	0.7325
180.0	40	3	0.735
210.0	43	2	0.745833333333
240.0	42	1	0.736666666667
270.0	42	6	0.7375
300.0	44	2	0.74
330.0	42	2	0.739166666667
360.0	42	0	0.741666666667
390.0	41	1	0.739166666667
420.0	46	2	0.745833333333
450.0	43	2	0.744166666667
480.0	42	1	0.7425
510.0	43	0	0.74
540.0	41	4	0.733333333333
570.0	41	4	0.735
600.0	42	4	0.7375
630.0	41	2	0.735
660.0	42	0	0.736666666667
690.0	41	2	0.730833333333
720.0	40	1	0.729166666667
750.0	41	0	0.735833333333
780.0	44	2	0.739166666667
810.0	41	4	0.730833333333
840.0	38	3	0.725
870.0	39	1	0.73
900.0	40	0	0.735833333333
930.0	38	2	0.726666666667
960.0	38	1	0.726666666667
990.0	37	4	0.72
1020.0	41	4	0.735
1050.0	41	2	0.736666666667
1080.0	42	1	0.740833333333
1110.0	41	1	0.738333333333
1140.0	42	1	0.741666666667
1170.0	42	1	0.741666666667
1200.0	42	0	0.7425
1230.0	41	0	0.735833333333
1260.0	41	2	0.739166666667
1290.0	41	1	0.741666666667
1320.0	40	2	0.731666666667
1350.0	40	2	0.7375
1380.0	38	3	0.7325
1410.0	40	4	0.739166666667
1440.0	39	2	0.736666666667
1470.0	39	1	0.736666666667
1500.0	38	1	0.7325
1530.0	38	1	0.730833333333
1560.0	38	0	0.731666666667
1590.0	41	1	0.734166666667
1620.0	39	0	0.7275
1650.0	40	4	0.724166666667
1680.0	40	3	0.725833333333
1710.0	41	5	0.725833333333
1740.0	39	7	0.72
1770.0	41	2	0.725833333333
1800.0	41	2	0.725833333333
1830.0	39	2	0.721666666667
1860.0	39	2	0.721666666667
1890.0	38	2	0.718333333333
1920.0	37	1	0.711666666667
1950.0	36	2	0.714166666667
1980.0	39	2	0.723333333333
2010.0	41	4	0.728333333333
2040.0	39	2	0.723333333333
2070.0	41	2	0.726666666667
2100.0	41	1	0.7325
2130.0	42	1	0.735
2160.0	40	0	0.733333333333
2190.0	38	1	0.725
2220.0	37	2	0.72
2250.0	40	1	0.731666666667
2280.0	43	3	0.734166666667
2310.0	40	2	0.73
2340.0	43	5	0.736666666667
2370.0	43	1	0.74
2400.0	41	2	0.736666666667
2430.0	40	0	0.733333333333
2460.0	41	3	0.739166666667
2490.0	40	1	0.735833333333
2520.0	38	1	0.7275
2550.0	41	1	0.7375
2580.0	41	1	0.7375
2610.0	41	0	0.741666666667
2640.0	39	0	0.735
2670.0	38	2	0.731666666667
2700.0	41	5	0.735833333333
2730.0	43	4	0.745833333333
2760.0	45	0	0.7575
2790.0	43	3	0.749166666667
2820.0	40	4	0.741666666667
2850.0	39	4	0.736666666667
2880.0	40	3	0.7425
2910.0	41	4	0.744166666667
2940.0	40	0	0.741666666667
2970.0	38	2	0.738333333333
3000.0	42	2	0.745833333333
3030.0	41	2	0.746666666667
3060.0	42	2	0.75
3090.0	42	3	0.749166666667
3120.0	42	2	0.749166666667
3150.0	43	4	0.7475
3180.0	43	4	0.749166666667
3210.0	42	2	0.746666666667
3240.0	42	0	0.749166666667
3270.0	42	1	0.749166666667
3300.0	44	3	0.7475
3330.0	42	3	0.74
3360.0	40	3	0.733333333333
3390.0	40	0	0.736666666667
3420.0	40	2	0.7375
3450.0	40	2	0.7375
3480.0	39	4	0.729166666667
3510.0	41	1	0.7375
3540.0	42	2	0.743333333333
3570.0	43	0	0.750833333333
3600.0	44	1	0.7525
3630.0	42	0	0.748333333333
3660.0	41	0	0.744166666667
3690.0	41	1	0.7425
3720.0	43	1	0.755
